Event_Date,Ship,Observer,Object,Estimate,Exact
5/6/2008,Veendam,Nat,Ice,75,124
5/6/2008,Veendam,Nat,Ice,230,229
5/6/2008,Veendam,Nat,Ice,240,177
5/6/2008,Veendam,Nat,Ice,400,207
5/6/2008,Veendam,Nat,Ice,600,653
5/6/2008,Veendam,Nat,Ice,600,395
5/6/2008,Veendam,Nat,Ice,800,876
5/6/2008,Veendam,Nat,Ice,800,565
5/6/2008,Veendam,Nat,Land,1800,1328
5/6/2008,Veendam,Nat,Land,2400,2616
5/7/2008,Statendam,Nat,Ice,50,73
5/7/2008,Statendam,Nat,Ice,80,116
5/7/2008,Statendam,Nat,Ice,100,154
5/7/2008,Statendam,Nat,Ice,120,169
5/7/2008,Statendam,Nat,Ice,450,403
5/7/2008,Statendam,Nat,Land,700,546
5/7/2008,Statendam,Nat,Ice,900,1024
5/7/2008,Statendam,Nat,Land,1000,1072
5/7/2008,Statendam,Nat,Ice,1500,1129
5/7/2008,Statendam,Nat,Land,1700,1713
5/8/2008,Norwegian Pearl,Nat,Ice,120,179
5/8/2008,Norwegian Pearl,Nat,Ice,190,212
5/8/2008,Norwegian Pearl,Nat,Ice,270,351
5/8/2008,Norwegian Pearl,Nat,Ice,290,247
5/8/2008,Norwegian Pearl,Nat,Ice,450,538
5/8/2008,Norwegian Pearl,Nat,Ice,550,593
5/8/2008,Norwegian Pearl,Nat,Ice,600,589
5/8/2008,Norwegian Pearl,Nat,Ice,700,649
5/8/2008,Norwegian Pearl,Nat,Ice,900,995
5/8/2008,Norwegian Pearl,Nat,Land,1500,1109
5/11/2008,Ryndam,Nat,Ice,50,56
5/11/2008,Ryndam,Nat,Ice,100,137
5/11/2008,Ryndam,Nat,Ice,160,202
5/11/2008,Ryndam,Nat,Ice,170,337
5/11/2008,Ryndam,Nat,Ice,400,436
5/11/2008,Ryndam,Nat,Ice,500,389
5/11/2008,Ryndam,Nat,Ice,500,475
5/11/2008,Ryndam,Nat,Ice,800,933
5/11/2008,Ryndam,Nat,Ice,1200,1229
5/11/2008,Ryndam,Nat,Ice,1800,1679
5/13/2008,Veendam,Nat,Ice,65,64
5/13/2008,Veendam,Nat,Ice,110,158
5/13/2008,Veendam,Nat,Ice,130,138
5/13/2008,Veendam,Nat,Ice,200,263
5/13/2008,Veendam,Nat,Ice,200,267
5/13/2008,Veendam,Nat,Ice,340,238
5/13/2008,Veendam,Nat,Ice,370,335
5/13/2008,Veendam,Nat,Ice,400,282
5/13/2008,Veendam,Nat,Ice,750,659
5/13/2008,Veendam,Nat,Ice,1000,728
5/16/2008,Zaandam,Nat,Ice,90,111
5/16/2008,Zaandam,Nat,Ice,100,82
5/16/2008,Zaandam,Nat,Ice,170,194
5/16/2008,Zaandam,Nat,Ice,180,188
5/16/2008,Zaandam,Nat,Ice,180,192
5/16/2008,Zaandam,Nat,Ice,230,277
5/16/2008,Zaandam,Nat,Ice,240,237
5/16/2008,Zaandam,Nat,Ice,250,252
5/16/2008,Zaandam,Nat,Ice,490,481
5/16/2008,Zaandam,Nat,Ice,750,633
5/18/2008,Ryndam,Nat,Ice,80,58
5/18/2008,Ryndam,Nat,Ice,100,165
