"","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"1","Amsterdam",1,9.852047048,21.75116479,"BL-Blowing","excellent","calm",2008,-1.35997678758717
"2","Ryndam",1,13.86624033,151.563979,"BL-Blowing","excellent","1'",2008,-0.193082678898855
"3","Ryndam",1,13.94017729,179.3597124,"BL-Blowing","excellent","calm",2008,-0.171589791791203
"4","Ryndam",1,12.12250837,186.9611437,"BL-Blowing","excellent","2'",2008,-0.699971711965481
"5","Amsterdam",1,13.21264088,235.4161729,"BL-Blowing","good","2'",2008,-0.383078848507043
"6","Amsterdam",1,17.44191028,238.3932136,"BL-Blowing","good","2'",2008,0.846336179674392
"7","Statendam",1,13.40658848,241.5879067,"BL-Blowing","excellent","1'",2008,-0.326699821406116
"8","Statendam",1,12.75212682,254.1578069,"BL-Blowing","excellent","calm",2008,-0.516946628614134
"9","Statendam",1,15.58054926,285.320519,"DF-Dive-fluke-up","excellent","3'",2008,0.305253313007368
"10","Ryndam",1,16.57387988,288.2252063,"BL-Blowing","excellent","2'",2008,0.594006635787133
"11","Statendam",1,15.82848649,289.8502086,"DF-Dive-fluke-up","excellent","calm",2008,0.377326696795044
"12","Amsterdam",1,9.796874316,291.5303829,"BL-Blowing","excellent","1'",2008,-1.37601506262981
"13","Amsterdam",1,13.25883752,293.3133631,"BL-Blowing","excellent","calm",2008,-0.369649852125898
"14","Statendam",1,15.54867844,304.0470141,"BL-Blowing","excellent","2'",2008,0.29598871873289
"15","Ryndam",5,15.82192241,334.407404,"BL-Blowing","excellent","1'",2008,0.375418570867152
"16","Amsterdam",2,10.62238203,343.168988,"BL-Blowing","excellent","1'",2008,-1.1360465258723
"17","Amsterdam",1,10.65604981,351.3142253,"RE-Resting","excellent","1'",2008,-1.12625956959624
"18","Statendam",3,9.810860094,380.5171046,"BL-Blowing","excellent","calm",2008,-1.37194950803213
"19","Statendam",1,17.77908763,388.9797015,"DF-Dive-fluke-up","excellent","1'",2008,0.944350957652922
"20","Ryndam",1,16.98650544,399.1502194,"DF-Dive-fluke-up","excellent","calm",2008,0.713953609246846
"21","Amsterdam",1,10.11950726,405.5014487,"DF-Dive-fluke-up","good","calm",2008,-1.28222822797226
"22","Ryndam",1,16.36470831,410.4817743,"BL-Blowing","excellent","1'",2008,0.533202121507124
"23","Ryndam",1,13.95330599,413.3806979,"BL-Blowing","excellent","calm",2008,-0.167773382961704
"24","Amsterdam",1,11.98334741,417.2583162,"RE-Resting","excellent","calm",2008,-0.740424697902049
"25","Amsterdam",1,9.698661703,440.5240037,"BL-Blowing","excellent","2'",2008,-1.40456468928144
"26","Ryndam",1,19.40217462,442.4005194,"DF-Dive-fluke-up","good","2'",2008,1.41616945603275
"27","Ryndam",1,13.9565179,451.9608123,"BL-Blowing","excellent","1'",2008,-0.166839706231826
"28","Statendam",1,13.97732638,481.6545331,"DF-Dive-fluke-up","excellent","calm",2008,-0.160790846344676
"29","Amsterdam",1,10.64270592,488.7552498,"DF-Dive-fluke-up","excellent","1'",2008,-1.13013853244982
"30","Amsterdam",1,10.50060786,489.5972862,"DF-Dive-fluke-up","excellent","1'",2008,-1.17144531003165
"31","Amsterdam",1,9.543989965,490.3617626,"BL-Blowing","excellent","2'",2008,-1.44952653520503
"32","Amsterdam",1,12.71081713,504.3487445,"BL-Blowing","excellent","1'",2008,-0.528955027439594
"33","Ryndam",1,13.92611649,507.7722245,"BL-Blowing","excellent","calm",2008,-0.175677154688504
"34","Amsterdam",2,10.67279175,517.9236724,"BL-Blowing","excellent","2'",2008,-1.12139282059299
"35","Statendam",1,10.68955878,533.2293054,"RE-Resting","excellent","1'",2008,-1.11651877812599
"36","Ryndam",1,19.35980952,544.163324,"DF-Dive-fluke-up","excellent","calm",2008,1.40385425790175
"37","Ryndam",1,14.23584162,586.5178051,"BL-Blowing","excellent","calm",2008,-0.0856425190544041
"38","Ryndam",3,14.79941558,591.1131185,"BL-Blowing","excellent","1'",2008,0.0781839555408824
"39","Amsterdam",1,10.41375085,594.6878132,"BL-Blowing","excellent","2'",2008,-1.19669395307077
"40","Amsterdam",1,11.15136894,598.2995263,"BL-Blowing","excellent","2'",2008,-0.982274232041775
"41","Ryndam",1,13.51014479,605.1849739,"BL-Blowing","excellent","1'",2008,-0.29659682447312
"42","Statendam",1,10.97758343,613.1909567,"BL-Blowing","excellent","1'",2008,-1.0327922996953
"43","Statendam",1,19.73070936,670.4397953,"DF-Dive-fluke-up","excellent","1'",2008,1.51167189591887
"44","Ryndam",1,19.32338296,671.5968352,"DF-Dive-fluke-up","good","2'",2008,1.39326534618831
"45","Amsterdam",1,9.961146795,685.518569,"BL-Blowing","excellent","calm",2008,-1.32826235754103
"46","Amsterdam",1,9.408644889,687.0572651,"BL-Blowing","excellent","2'",2008,-1.48887027396633
"47","Amsterdam",1,11.97538193,692.7135054,"BL-Blowing","excellent","calm",2008,-0.742740199680838
"48","Ryndam",1,11.58334462,711.8196202,"BL-Blowing","excellent","calm",2008,-0.856702332365463
"49","Ryndam",1,13.33375268,719.0130931,"DF-Dive-fluke-up","excellent","calm",2008,-0.347872610046541
"50","Amsterdam",2,11.87856374,735.8166164,"BL-Blowing","excellent","calm",2008,-0.770884478640065
"51","Ryndam",1,13.92867421,738.3314837,"DF-Dive-fluke-up","excellent","calm",2008,-0.174933645796429
"52","Ryndam",1,13.01703785,748.4608728,"DF-Dive-fluke-up","excellent","1'",2008,-0.439939095962508
"53","Amsterdam",1,12.53641396,756.3574271,"BL-Blowing","excellent","calm",2008,-0.579652643950021
"54","Amsterdam",1,9.254395248,785.0602028,"BL-Blowing","excellent","2'",2008,-1.53370941964406
"55","Statendam",1,11.18329477,786.3331009,"BL-Blowing","excellent","1'",2008,-0.972993646797154
"56","Ryndam",1,15.13868499,786.494808,"DF-Dive-fluke-up","excellent","1'",2008,0.176806878747488
"57","Amsterdam",1,10.77455706,786.9730576,"BL-Blowing","excellent","1'",2008,-1.09181045313691
"58","Statendam",1,12.55731654,788.8689601,"BL-Blowing","excellent","2'",2008,-0.573576429940158
"59","Statendam",1,14.0538021,789.7590094,"BL-Blowing","good","calm",2008,-0.138559961866379
"60","Amsterdam",1,13.16031591,791.9778381,"BL-Blowing","excellent","1'",2008,-0.398289301751555
"61","Ryndam",1,16.35628232,792.6897616,"BL-Blowing","excellent","1'",2008,0.530752753128437
"62","Amsterdam",2,10.52618632,797.4086634,"BL-Blowing","excellent","2'",2008,-1.1640098548389
"63","Ryndam",1,15.99493394,799.4257454,"BL-Blowing","excellent","calm",2008,0.425711648681173
