,Ship,Count,Vessel_Kts,distance,Behavior,Visibility,SeaState,Year,Kts_scaled
1,Volendam,1,18.0069088,2498.460364,BL-Blowing,excellent,calm,2013,0.987756208
2,Volendam,1,18.3843706,4001.47522,BL-Blowing,excellent,calm,2013,1.098350379
4,Volendam,1,11.33139606,3991.33881,BL-Blowing,excellent,2',2014,-0.968131244
6,Norwegian Pearl,1,18.12490146,354.5248521,DF-Dive-fluke-up,excellent,1',2008,1.022327389
7,Veendam,1,16.60784944,449.8510227,DF-Dive-fluke-up,excellent,1',2008,0.577839734
8,Ryndam,1,15.1575027,84.86194866,BL-Blowing,excellent,1',2008,0.152896347
9,Ryndam,1,16.83331037,2274.007719,SA-Surface-active,excellent,1',2008,0.64389851
10,Sapphire Princess,1,18.97596474,212.2243234,DF-Dive-fluke-up,excellent,1',2008,1.271684114
11,Sapphire Princess,1,14.61334426,2711.333987,SA-Surface-active,excellent,1',2008,-0.006538996
12,Statendam,1,2.8168267,3658.061081,DF-Dive-fluke-up,excellent,1',2008,-3.462851876
13,Statendam,1,17.33185251,1632.742393,BL-Blowing,excellent,1',2008,0.789968535
14,Coral Princess,1,19.03848506,4557.558975,DF-Dive-fluke-up,excellent,1',2008,1.290002214
15,Statendam,1,16.4102184,278.3837715,BL-Blowing,good,1',2008,0.519934957
16,Statendam,1,15.08801895,626.3897209,BL-Blowing,good,1',2008,0.132538002
17,Statendam,1,14.77514115,908.0480913,DF-Dive-fluke-up,good,1',2008,0.040866577
18,Volendam,1,19.08287313,2279.845001,BL-Blowing,excellent,1',2008,1.303007667
19,Volendam,1,19.23894394,772.4371096,SA-Surface-active,excellent,1',2008,1.348735531
20,Island Princess,1,18.74616011,4557.488382,BL-Blowing,excellent,1',2008,1.204352658
21,Island Princess,1,10.72075311,4557.893408,DF-Dive-fluke-up,excellent,1',2008,-1.147046172
22,Island Princess,1,9.380479596,719.7191268,DF-Dive-fluke-up,excellent,1',2008,-1.539738726
23,Sapphire Princess,1,11.15226773,1352.880221,BL-Blowing,good,1',2008,-1.02061483
24,Sapphire Princess,1,12.14829165,2712.147653,DF-Dive-fluke-up,good,1',2008,-0.728785459
25,Statendam,1,11.18956121,1488.605436,BL-Blowing,excellent,1',2008,-1.009688052
26,Statendam,1,11.18329477,786.3331009,BL-Blowing,excellent,1',2008,-1.011524083
27,Statendam,1,10.97758343,613.1909567,BL-Blowing,excellent,1',2008,-1.071796342
28,Statendam,1,19.23952368,991.102364,BL-Blowing,excellent,1',2008,1.348905391
29,Statendam,1,19.73070936,670.4397953,DF-Dive-fluke-up,excellent,1',2008,1.492820016
30,Statendam,1,19.81635979,1999.269849,BL-Blowing,excellent,1',2008,1.517915107
31,Ryndam,1,13.86624033,151.563979,BL-Blowing,excellent,1',2008,-0.225436219
32,Ryndam,1,13.08209134,1012.232075,BL-Blowing,excellent,1',2008,-0.455187435
33,Ryndam,1,13.01703785,748.4608728,DF-Dive-fluke-up,excellent,1',2008,-0.474247739
34,Ryndam,1,13.4052839,1987.781769,BL-Blowing,excellent,1',2008,-0.360493844
35,Ryndam,1,13.51014479,605.1849739,BL-Blowing,excellent,1',2008,-0.329770197
36,Ryndam,1,13.9565179,451.9608123,BL-Blowing,excellent,1',2008,-0.198985402
37,Ryndam,1,15.13868499,786.494808,DF-Dive-fluke-up,excellent,1',2008,0.147382865
38,Ryndam,1,16.42336315,3487.258827,BL-Blowing,excellent,1',2008,0.523786295
39,Ryndam,1,16.35679592,992.511101,BL-Blowing,excellent,1',2008,0.504282473
40,Ryndam,1,16.35628232,792.6897616,BL-Blowing,excellent,1',2008,0.504131991
41,Ryndam,1,16.36470831,410.4817743,BL-Blowing,excellent,1',2008,0.506600759
42,Ryndam,1,17.38918508,2004.331724,DF-Dive-fluke-up,excellent,1',2008,0.806766654
43,Diamond Princess,1,17.61221798,1069.32255,BL-Blowing,excellent,1',2008,0.872114031
44,Statendam,1,13.13957749,2188.759701,BL-Blowing,excellent,1',2008,-0.438344318
45,Statendam,1,13.38752016,1591.35248,DF-Dive-fluke-up,excellent,1',2008,-0.365698519
46,Statendam,1,13.37497421,886.2581699,BL-Blowing,excellent,1',2008,-0.369374412
47,Statendam,1,13.19542974,991.5643763,RE-Resting,excellent,1',2008,-0.421979925
48,Statendam,1,13.40658848,241.5879067,BL-Blowing,excellent,1',2008,-0.360111609
49,Statendam,1,10.68955878,533.2293054,RE-Resting,excellent,1',2008,-1.156185934
50,Statendam,1,13.45991654,1388.439645,BL-Blowing,excellent,1',2008,-0.34448679
51,Statendam,1,17.38695557,1992.026768,DF-Dive-fluke-up,excellent,1',2008,0.80611342
52,Statendam,1,17.42236978,2490.205175,SA-Surface-active,excellent,1',2008,0.816489583
53,Statendam,1,17.77908763,388.9797015,DF-Dive-fluke-up,excellent,1',2008,0.921005894
54,Coral Princess,1,16.05703556,1081.921429,BL-Blowing,excellent,1',2008,0.416454384
55,Ryndam,1,14.03499267,1099.709736,BL-Blowing,excellent,1',2008,-0.175992738
56,Amsterdam,1,10.53824703,897.9852921,DF-Dive-fluke-up,excellent,1',2008,-1.20051942
57,Amsterdam,1,10.42817274,898.3012207,DF-Dive-fluke-up,excellent,1',2008,-1.232770564
58,Amsterdam,1,10.54342265,903.841137,BL-Blowing,excellent,1',2008,-1.199002993
59,Amsterdam,1,7.178691472,1189.761995,BL-Blowing,excellent,1',2008,-2.184850185
60,Amsterdam,1,10.50060786,489.5972862,DF-Dive-fluke-up,excellent,1',2008,-1.211547484
61,Amsterdam,1,10.43925006,1785.881123,DF-Dive-fluke-up,excellent,1',2008,-1.229524972
62,Amsterdam,1,11.66706017,985.4170115,BL-Blowing,excellent,1',2008,-0.869783559
63,Sapphire Princess,1,18.39301965,3625.434928,BL-Blowing,excellent,1',2008,1.100884502
64,Sapphire Princess,1,17.11776025,1806.143335,BL-Blowing,excellent,1',2008,0.727240715
65,Sapphire Princess,1,13.33685802,981.1674733,BL-Blowing,excellent,1',2008,-0.38054224
66,Statendam,1,15.98427408,463.2876189,BL-Blowing,excellent,1',2008,0.395135682
67,Coral Princess,1,17.69490517,125.8879179,BL-Blowing,excellent,1',2008,0.89634091
68,Coral Princess,1,18.61592867,2727.853577,BL-Blowing,excellent,1',2008,1.166195583
69,Statendam,1,17.42301124,912.3217371,BL-Blowing,excellent,1',2008,0.816677527
70,Statendam,1,19.80493797,1189.257257,DF-Dive-fluke-up,excellent,1',2008,1.514568578
71,Statendam,1,20.54229711,2989.920998,BL-Blowing,excellent,1',2008,1.730610633
73,Statendam,1,18.63867958,2491.488726,DF-Dive-fluke-up,good,1',2008,1.172861471
74,Coral Princess,1,18.19457017,1813.630543,BL-Blowing,excellent,1',2008,1.042739927
75,Coral Princess,1,13.24710185,1590.536976,SA-Surface-active,excellent,1',2008,-0.406840289
76,Amsterdam,1,18.78134538,1793.043126,BL-Blowing,excellent,1',2008,1.214661743
77,Amsterdam,1,19.1249941,885.925689,BL-Blowing,excellent,1',2008,1.315348873
79,Sapphire Princess,1,12.21455318,2718.648925,BL-Blowing,excellent,1',2008,-0.709371206
80,Sapphire Princess,1,13.1733775,1800.675731,DF-Dive-fluke-up,poor,1',2008,-0.428441107
81,Sapphire Princess,1,9.274115698,629.4189294,DF-Dive-fluke-up,poor,1',2008,-1.570902746
82,Coral Princess,1,14.60652895,624.7392283,BL-Blowing,good,1',2008,-0.008535843
83,Ryndam,1,19.337174,1986.436675,DF-Dive-fluke-up,excellent,1',2008,1.377516382
84,Volendam,1,14.06563986,726.4346171,DF-Dive-fluke-up,poor,1',2008,-0.167013285
85,Volendam,1,14.55441556,1828.159722,BL-Blowing,poor,1',2008,-0.023804771
86,Island Princess,1,7.412530985,645.7356047,BL-Blowing,good,1',2008,-2.116336531
87,Island Princess,1,13.10434462,3637.621161,BL-Blowing,excellent,1',2008,-0.44866735
88,Island Princess,1,13.39710469,718.9689958,BL-Blowing,excellent,1',2008,-0.362890306
89,Island Princess,1,13.24872837,718.8910204,BL-Blowing,excellent,1',2008,-0.406363728
90,Ryndam,1,12.89749028,2274.188264,DF-Dive-fluke-up,excellent,1',2008,-0.509274501
91,Sapphire Princess,1,18.92326102,4537.900667,BL-Blowing,good,1',2008,1.256242222
92,Sapphire Princess,1,13.88983191,2251.818459,BL-Blowing,good,1',2008,-0.21852402
93,Island Princess,1,16.44468103,3643.93476,BL-Blowing,good,1',2008,0.530032313
94,Island Princess,1,16.95607266,1819.440908,BL-Blowing,good,1',2008,0.679867166
95,Island Princess,1,19.64477822,3645.404611,SA-Surface-active,good,1',2008,1.467642678
96,Zaandam,1,11.71787679,169.5502311,BL-Blowing,poor,1',2008,-0.854894577
97,Amsterdam,1,13.16031591,791.9778381,BL-Blowing,excellent,1',2008,-0.432268079
98,Amsterdam,1,12.52907078,2984.640577,BL-Blowing,excellent,1',2008,-0.617219329
99,Amsterdam,1,10.94645697,3984.641938,BL-Blowing,excellent,1',2008,-1.080916218
100,Ryndam,1,9.416134095,1494.116936,BL-Blowing,good,1',2008,-1.529292159
101,Ryndam,1,17.33942915,2486.50436,BL-Blowing,excellent,1',2008,0.792188448
102,Ryndam,1,10.22780721,1487.134421,BL-Blowing,excellent,1',2008,-1.291476531
103,Ryndam,1,6.048904659,1491.944311,BL-Blowing,excellent,1',2008,-2.515871327
104,Ryndam,1,18.14342903,1127.171842,BL-Blowing,excellent,1',2008,1.027755863
105,Ryndam,1,20.00890564,3986.419408,DF-Dive-fluke-up,good,1',2008,1.574329951
107,Amsterdam,1,10.65604981,351.3142253,RE-Resting,excellent,1',2008,-1.166003873
108,Amsterdam,1,10.64270592,488.7552498,DF-Dive-fluke-up,excellent,1',2008,-1.169913557
109,Amsterdam,1,10.77522111,961.6851502,SA-Surface-active,excellent,1',2008,-1.131087356
110,Amsterdam,1,10.77455706,786.9730576,BL-Blowing,excellent,1',2008,-1.131281919
111,Amsterdam,1,9.796874316,291.5303829,BL-Blowing,excellent,1',2008,-1.41773743
112,Amsterdam,1,12.71081713,504.3487445,BL-Blowing,excellent,1',2008,-0.563968677
113,Amsterdam,1,12.65084715,1007.193123,BL-Blowing,excellent,1',2008,-0.581539542
114,Statendam,1,17.47141506,1506.996062,BL-Blowing,excellent,1',2008,0.830859573
115,Statendam,1,18.43661569,1991.552611,BL-Blowing,excellent,1',2008,1.113657895
116,Statendam,1,18.0420346,1501.960513,BL-Blowing,excellent,1',2008,0.998047868
117,Zaandam,1,16.64229137,1359.025064,DF-Dive-fluke-up,poor,1',2008,0.587931024
118,Tahitian Princess,1,14.85654143,4561.509026,DF-Dive-fluke-up,good,1',2008,0.064716399
119,Amsterdam,1,12.03794461,985.8319225,BL-Blowing,excellent,1',2008,-0.761116517
120,Amsterdam,1,11.85384196,884.6143923,DF-Dive-fluke-up,excellent,1',2008,-0.815057552
121,Amsterdam,1,12.42720249,1490.029767,BL-Blowing,excellent,1',2008,-0.647066161
122,Amsterdam,1,13.1910146,1991.523956,BL-Blowing,excellent,1',2008,-0.423273536
123,Amsterdam,1,12.80941217,995.35883,DF-Dive-fluke-up,excellent,1',2008,-0.535080888
124,Amsterdam,1,11.86298002,1493.937408,BL-Blowing,good,1',2008,-0.812380152
125,Amsterdam,1,11.93082904,2486.062612,BL-Blowing,good,1',2008,-0.792500773
126,Ryndam,1,15.95017005,2987.780002,BL-Blowing,excellent,1',2008,0.385143395
127,Ryndam,1,14.41455917,2992.63083,DF-Dive-fluke-up,excellent,1',2008,-0.064781902
128,Ryndam,1,14.31745216,996.3471916,DF-Dive-fluke-up,excellent,1',2008,-0.093233706
129,Coral Princess,1,13.48587601,4558.284983,DF-Dive-fluke-up,excellent,1',2008,-0.336880812
130,Coral Princess,1,17.52066296,4557.352863,BL-Blowing,excellent,1',2008,0.845288929
131,Volendam,1,13.75655571,814.0850843,BL-Blowing,excellent,1',2008,-0.257573192
132,Ryndam,1,11.07822613,168.8351196,BL-Blowing,poor,1',2008,-1.0423086
133,Ryndam,1,12.78309354,1358.128155,BL-Blowing,poor,1',2008,-0.542792098
134,Ryndam,1,17.59961842,2272.494952,BL-Blowing,good,1',2008,0.868422432
135,Ryndam,1,13.51217521,636.8030512,DF-Dive-fluke-up,good,1',2008,-0.329175295
136,Amsterdam,1,17.80183389,1485.648192,DF-Dive-fluke-up,excellent,1',2008,0.92767042
138,Amsterdam,1,11.84331189,1984.769464,DF-Dive-fluke-up,excellent,1',2008,-0.818142803
139,Amsterdam,1,3.128441812,1284.790961,DF-Dive-fluke-up,good,1',2008,-3.371550412
140,Amsterdam,1,7.097280315,1994.817505,RE-Resting,good,1',2008,-2.208703193
141,Statendam,1,13.05313878,730.3140542,DF-Dive-fluke-up,excellent,1',2008,-0.463670371
142,Zaandam,1,18.86762766,1358.388728,BL-Blowing,poor,1',2008,1.239941962
143,Veendam,1,13.27168511,385.2586598,BL-Blowing,good,1',2008,-0.399637533
144,Zuiderdam,1,16.02665974,785.8916868,BL-Blowing,excellent,1',2009,0.407554441
145,Zaandam,1,12.23745409,1484.684876,BL-Blowing,excellent,1',2009,-0.702661369
146,Zaandam,1,12.14069849,785.1308667,BL-Blowing,excellent,1',2009,-0.731010212
147,Zaandam,1,12.08377195,308.49757,DF-Dive-fluke-up,excellent,1',2009,-0.747689366
148,Zaandam,1,11.6887393,314.8285144,BL-Blowing,excellent,1',2009,-0.863431697
149,Zaandam,1,10.71761969,802.9234223,DF-Dive-fluke-up,excellent,1',2009,-1.147964246
150,Zaandam,1,9.995497163,636.0763715,BL-Blowing,excellent,1',2009,-1.35954206
151,Zaandam,1,8.835343393,484.4979371,DF-Dive-fluke-up,excellent,1',2009,-1.699460548
152,Zaandam,1,7.168079916,1184.599454,BL-Blowing,excellent,1',2009,-2.187959311
153,Zaandam,1,4.846281285,696.8102936,BL-Blowing,excellent,1',2009,-2.868233169
154,Zaandam,1,4.981726283,590.3205773,BL-Blowing,excellent,1',2009,-2.828548551
155,Zuiderdam,1,16.42597926,1989.725751,BL-Blowing,excellent,1',2009,0.5245528
156,Volendam,1,18.67390686,1502.636592,BL-Blowing,excellent,1',2009,1.183182864
158,Volendam,1,16.25765195,2393.61882,SA-Surface-active,excellent,1',2009,0.475233851
159,Volendam,1,20.17252283,1197.029587,BL-Blowing,excellent,1',2009,1.622268862
161,Zuiderdam,1,12.43156664,1486.69172,BL-Blowing,good,1',2009,-0.64578749
162,Zuiderdam,1,17.67639937,685.5488877,SA-Surface-active,excellent,1',2009,0.890918815
163,Zuiderdam,1,15.05717187,790.4356762,BL-Blowing,excellent,1',2009,0.123499982
164,Zuiderdam,1,6.773334156,2987.26783,DF-Dive-fluke-up,excellent,1',2009,-2.303617584
165,Zuiderdam,1,13.83201253,985.1106786,BL-Blowing,excellent,1',2009,-0.235464771
166,Zuiderdam,1,15.33421151,1985.636535,BL-Blowing,excellent,1',2009,0.204671029
167,Zuiderdam,1,15.55640321,1186.169029,DF-Dive-fluke-up,excellent,1',2009,0.269771939
168,Zuiderdam,1,15.57657583,2984.386714,DF-Dive-fluke-up,excellent,1',2009,0.275682403
169,Zuiderdam,1,14.37210473,1489.23349,BL-Blowing,excellent,1',2009,-0.077220813
170,Zuiderdam,1,13.6522411,984.3855367,DF-Dive-fluke-up,excellent,1',2009,-0.288136782
171,Zuiderdam,1,13.65549441,885.419083,DF-Dive-fluke-up,excellent,1',2009,-0.287183581
172,Zuiderdam,1,13.53944287,658.6737354,DF-Dive-fluke-up,excellent,1',2009,-0.321186025
173,Zuiderdam,1,13.53186622,1994.521175,SA-Surface-active,excellent,1',2009,-0.323405941
174,Zuiderdam,1,17.44349489,1989.72752,DF-Dive-fluke-up,excellent,1',2009,0.822679121
176,Zaandam,1,15.94829839,1184.823955,BL-Blowing,excellent,1',2009,0.384595009
177,Volendam,1,18.18516702,1000.295191,DF-Dive-fluke-up,excellent,1',2009,1.039984857
178,Sapphire Princess,1,20.76664402,578.245941,BL-Blowing,excellent,1',2009,1.796343008
179,Zuiderdam,1,15.88882802,2493.53256,DF-Dive-fluke-up,excellent,1',2009,0.367170527
180,Zuiderdam,1,15.35522217,1991.447187,DF-Dive-fluke-up,excellent,1',2009,0.210827033
181,Zuiderdam,1,12.84641279,2003.162294,BL-Blowing,excellent,1',2009,-0.524239916
182,Zuiderdam,1,19.89032618,92.12349702,BL-Blowing,excellent,1',2009,1.539586841
183,Zuiderdam,1,21.98700805,883.9512594,BL-Blowing,excellent,1',2009,2.153902762
184,Zuiderdam,1,22.13220919,724.5666623,DF-Dive-fluke-up,excellent,1',2009,2.196445874
185,Statendam,1,17.5038506,1170.503821,DF-Dive-fluke-up,excellent,1',2009,0.840363002
186,Zaandam,1,10.64492381,2498.30206,BL-Blowing,excellent,1',2009,-1.169263728
187,Volendam,1,18.05652284,2502.28303,BL-Blowing,excellent,1',2009,1.002292841
188,Volendam,1,18.34491127,3992.32647,BL-Blowing,excellent,1',2009,1.086789018
189,Zuiderdam,1,18.32901776,806.2538112,DF-Dive-fluke-up,excellent,1',2009,1.08213231
190,Zuiderdam,1,21.13220129,1189.338254,DF-Dive-fluke-up,excellent,1',2009,1.903449219
191,Zuiderdam,1,22.63592899,1493.384867,BL-Blowing,excellent,1',2009,2.344032925
192,Volendam,1,19.33410693,1491.912947,BL-Blowing,excellent,1',2009,1.376617748
