"","OBJECTID","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","Event_Date","CPA","ObType","ObOrder","Year_","Ship","Observer","ObLocation","Approx","Species","Count_","IS_WW","WW_Speed","LAT","LONG_","Y_PROJ","X_PROJ","NDateS","NDateD","WptID","DateD","TimeD","DateTim","DateTxt","TimeTxt","TrkID","Vessel_Azi","X_GPS_UTM","Y_GPS_UTM","Vessel_Kts","X_BB_UTM","Y_BB_UTM","X_MM_UTM","Y_MM_UTM","BB_MM_Azi","distance","BB_MM_Bear","Month_","season","Direction","Orientation","Behavior","Clouds","Rain","Wind","SeaState","Visibility"
"1",2495,"2008-07-07-K","2008-07-07-K-077","2008-07-07-K-077","7/7/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","y","humpback whale",1,"y",13,58.52582132,-136.0549968,58.52582132,-136.0549968,"7/7/2008","7/7/2008",534,"7/7/2008","15:26:45","7/7/2008",20080707,"15:26:45",47417,176.1501245,438558.3356,6487736.37,9.852047048,438557.3607,6487721.07,438556.3303,6487699.343,2.715174777,21.75116479,6.565050238,7,1,"G-Against","0-Parallel","BL-Blowing","100","moderate","light","calm","excellent"
"2",702,"2008-06-15-K","2008-06-15-K-003","2008-06-15-K-003","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"n",0,58.22523463,-135.4945561,58.22523463,-135.4945561,"6/15/2008","6/15/2008",74,"6/15/2008","4:36:01","6/15/2008",20080615,"04:36:01",8689,301.4991871,470951.1273,6453893.255,13.86624033,470938.5716,6453898.603,471025.9967,6454022.412,215.2271893,151.563979,93.72800225,6,1,"W-With","0-Parallel","BL-Blowing","100","light","light","1'","excellent"
"3",1129,"2008-06-15-K","2008-06-15-K-017","2008-06-15-K-017","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","n","humpback whale",1,"n",0,58.30539445,-135.7881126,58.30539445,-135.7881126,"6/15/2008","6/15/2008",88,"6/15/2008","5:22:32","6/15/2008",20080615,"05:22:32",9247,283.2330062,453813.2225,6462981.775,13.94017729,453799.6231,6462982.918,453954.5878,6463073.228,239.7673354,179.3597124,136.5343292,6,1,"A-Away","9-Perpendicular","DN-Dive-no-fluke","100","light","light","calm","excellent"
"4",1568,"2008-07-13-K","2008-07-13-K-083","2008-07-13-K-083","7/13/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"y",13,58.39451688,-135.9578587,58.39451688,-135.9578587,"7/13/2008","7/13/2008",639,"7/13/2008","16:31:50","7/13/2008",20080713,"16:31:50",54646,172.7175748,444006.9757,6473032.947,12.12250837,444010.6708,6473019.809,443982.3214,6472835.01,8.721570846,186.9611437,16.00399609,7,1,"A-Away","9-Perpendicular","BL-Blowing","100","none","moderate","2'","excellent"
"5",396,"2008-08-11-K","2008-08-11-K-069","2008-08-11-K-069","8/11/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"n",0,58.34762726,-136.0228508,58.34762726,-136.0228508,"8/11/2008","8/11/2008",1240,"8/11/2008","17:20:36","8/11/2008",20080811,"17:20:36",101185,224.0842088,440128.584,6467868.58,13.21264088,440116.5725,6467859.053,440279.0173,6467688.664,316.3673303,235.4161729,-87.71687845,8,1,"G-Against","0-Parallel","BL-Blowing","100","moderate","strong","2'","good"
"6",1271,"2008-08-11-K","2008-08-11-K-050","2008-08-11-K-050","8/11/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"n",0,58.58803206,-136.0648648,58.58803206,-136.0648648,"8/11/2008","8/11/2008",1222,"8/11/2008","16:06:14","8/11/2008",20080811,"16:06:14",100292,165.7866423,438093.5008,6494671.615,17.44191028,438095.2941,6494656.389,438294.3249,6494525.171,303.3962025,238.3932136,-42.3904398,8,1,"G-Against","0-Parallel","BL-Blowing","100","moderate","light","2'","good"
"7",1121,"2008-06-18-K","2008-06-18-K-008","2008-06-18-K-008","6/18/2008","Y","Single",1,2008,"Statendam","Karin","Port","n","humpback whale",1,"n",0,58.30511232,-135.7671109,58.30511232,-135.7671109,"6/18/2008","6/18/2008",167,"6/18/2008","5:03:21","6/18/2008",20080618,"05:03:21",18082,294.1039654,455043.6209,6462936.151,13.40658848,455032.1148,6462943.49,454791.366,6462923.372,85.22331056,241.5879067,-28.88065483,6,1,"T-Toward","0-Parallel","BL-Blowing","100","none","light","1'","excellent"
"8",2306,"2008-06-18-K","2008-06-18-K-050","2008-06-18-K-050","6/18/2008","N","MultiOb",2,2008,"Statendam","Karin","Port","n","humpback whale",1,"y",13,58.50807181,-136.0615048,58.50807181,-136.0615048,"6/18/2008","6/18/2008",209,"6/18/2008","14:34:05","6/18/2008",20080618,"14:34:05",21417,169.3176189,438148.1095,6485766.226,12.75212682,438148.6466,6485752.589,438264.5611,6485526.403,332.8660077,254.1578069,-16.45161121,6,1,"A-Away","0-Parallel","BL-Blowing","100","none","light","calm","excellent"
"9",424,"2008-08-06-K","2008-08-06-K-075","2008-08-06-K-075","8/6/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.33682466,-135.9562556,58.33682466,-135.9562556,"8/6/2008","8/6/2008",1138,"8/6/2008","16:30:52","8/6/2008",20080806,"16:30:52",93017,155.4199127,444009.4001,6466608.591,15.58054926,444016.8344,6466597.147,444261.5393,6466450.425,300.9463584,285.320519,-34.47355429,8,1,"A-Away","9-Perpendicular","DF-Dive-fluke-up","60","none","light","3'","excellent"
"10",947,"2008-08-17-K","2008-08-17-K-051","2008-08-17-K-051","8/17/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"n",0,58.33212267,-135.9436612,58.33212267,-135.9436612,"8/17/2008","8/17/2008",1294,"8/17/2008","17:36:09","8/17/2008",20080817,"17:36:09",107225,155.0461619,444739.4574,6466074.701,16.57387988,444746.9662,6466063.305,444744.164,6465775.094,0.557047493,288.2252063,25.51088562,8,1,"W/T-Wit/To","4-45-degrees","BL-Blowing","100","none","moderate","2'","excellent"
"11",1225,"2008-07-02-K","2008-07-02-K-104","2008-07-02-K-104","7/2/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.29842867,-135.8613214,58.29842867,-135.8613214,"7/2/2008","7/2/2008",425,"7/2/2008","16:42:59","7/2/2008",20080702,"16:42:59",39461,95.30576961,449513.0916,6462258.802,15.82848649,449526.7187,6462259.545,449742.2961,6462065.794,311.9477654,289.8502086,36.64199579,7,1,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","5","none","light","calm","excellent"
"12",786,"2008-08-11-K","2008-08-11-K-014","2008-08-11-K-014","8/11/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","y","humpback whale",1,"n",0,58.31434817,-135.8812042,58.31434817,-135.8812042,"8/11/2008","8/11/2008",1186,"8/11/2008","6:05:54","8/11/2008",20080811,"06:05:54",97174,282.7263365,448370.8899,6464046.24,9.796874316,448356.5039,6464051.539,448303.9986,6464338.303,169.6242869,291.5303829,66.89795035,8,1,"W-With","0-Parallel","BL-Blowing","100","none","light","1'","excellent"
"13",2009,"2008-09-15-K","2008-09-15-K-009","2008-09-15-K-009","9/15/2008","Y","Single",1,2008,"Amsterdam","Karin","Starboard","n","humpback whale",1,"y",13,58.48628892,-136.0502552,58.48628892,-136.0502552,"9/15/2008","9/15/2008",1760,"9/15/2008","7:22:18","9/15/2008",20080915,"07:22:18",141542,342.7173387,438765.6677,6483330.762,13.25883752,438759.2423,6483344.682,438645.5702,6483615.073,157.1981696,293.3133631,-5.519169072,9,0,"W/T-Wit/To","4-45-degrees","BL-Blowing","100","none","moderate","calm","excellent"
"14",1446,"2008-09-03-K","2008-09-03-K-090","2008-09-03-K-090","9/3/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.34734722,-135.9585336,58.34734722,-135.9585336,"9/3/2008","9/3/2008",1672,"9/3/2008","16:44:40","9/3/2008",20080903,"16:44:40",133860,163.7612469,443892.7112,6467781.987,15.54867844,443898.4066,6467769.585,443598.3449,6467818.652,99.28705943,304.0470141,115.5258125,9,0,"W/A-Wi/Aw","4-45-degrees","BL-Blowing","100","moderate","moderate","2'","excellent"
"15",420,"2008-06-15-K","2008-06-15-K-069","2008-06-15-K-069","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","n","humpback whale",5,"n",0,58.35123927,-135.964373,58.35123927,-135.964373,"6/15/2008","6/15/2008",140,"6/15/2008","16:24:47","6/15/2008",20080615,"16:24:47",13150,181.9457108,443557.1272,6468220.18,15.82192241,443558.6677,6468206.62,443399.649,6467912.441,28.39345227,334.407404,26.44774146,6,1,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","excellent"
"16",659,"2008-06-23-K","2008-06-23-K-006","2008-06-23-K-006","6/23/2008","N","MultiOb",2,2008,"Amsterdam","Karin","Port","n","humpback whale",2,"n",0,58.30043362,-135.7656164,58.30043362,-135.7656164,"6/23/2008","6/23/2008",253,"6/23/2008","5:50:46","6/23/2008",20080623,"05:50:46",27350,289.0263464,455125.2855,6462414.256,10.62238203,455111.5679,6462421.101,454916.1354,6462703.185,145.2850944,343.168988,36.258748,6,1,"G-Against","0-Parallel","BL-Blowing","90","none","moderate","1'","excellent"
"17",254,"2008-08-11-K","2008-08-11-K-006","2008-08-11-K-006","8/11/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"n",0,58.30259917,-135.7728315,58.30259917,-135.7728315,"8/11/2008","8/11/2008",1178,"8/11/2008","5:45:38","8/11/2008",20080811,"05:45:38",96931,291.2471183,454705.1658,6462660.185,10.65604981,454691.7238,6462667.558,454502.3723,6462371.639,32.6142616,351.3142253,-78.63285666,8,1,"T-Toward","9-Perpendicular","RE-Resting","100","none","light","1'","excellent"
"18",1298,"2008-06-11-K","2008-06-11-K-013","2008-06-11-K-013","6/11/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",3,"n",0,58.31232268,-135.8281907,58.31232268,-135.8281907,"6/11/2008","6/11/2008",13,"6/11/2008","5:00:33","6/11/2008",20080611,"05:00:33",631,288.784838,451474.0349,6463781.307,9.810860094,451460.61,6463783.76,451209.1124,6463498.204,41.37131054,380.5171046,-67.41352743,6,1,"W-With","0-Parallel","BL-Blowing","100","none","light","calm","excellent"
"19",25,"2008-06-18-K","2008-06-18-K-082","2008-06-18-K-082","6/18/2008","Y","Single",1,2008,"Statendam","Karin","Port","y","humpback whale",1,"n",0,57.19237536,-134.7059696,57.19237536,-134.7059696,"6/18/2008","6/18/2008",241,"6/18/2008","20:43:36","6/18/2008",20080618,"20:43:36",25852,172.2759842,517769.4218,6338838.901,17.77908763,517769.2544,6338825.254,517522.7719,6338524.337,39.32096984,388.9797015,47.04498568,6,1,"G-Against","0-Parallel","DF-Dive-fluke-up","80","none","moderate","1'","excellent"
"20",1231,"2008-08-03-K","2008-08-03-K-093","2008-08-03-K-093","8/3/2008","Y","Single",1,2008,"Ryndam","Karin","Port","y","humpback whale",1,"n",0,58.29964983,-135.799389,58.29964983,-135.799389,"8/3/2008","8/3/2008",1039,"8/3/2008","17:07:58","8/3/2008",20080803,"17:07:58",84954,107.0999883,453144.807,6462349.996,16.98650544,453157.1221,6462344.114,452994.4176,6461979.631,24.05587663,399.1502194,96.95588834,8,1,"A-Away","9-Perpendicular","DF-Dive-fluke-up","70","none","light","calm","excellent"
"21",1340,"2008-08-25-K","2008-08-25-K-062","2008-08-25-K-062","8/25/2008","Y","Single",1,2008,"Amsterdam","Karin","Starboard","n","humpback whale",1,"y",13,58.37346506,-136.0036105,58.37346506,-136.0036105,"8/25/2008","8/25/2008",1453,"8/25/2008","17:16:44","8/25/2008",20080825,"17:16:44",121962,197.5323834,441297.6443,6470728.193,10.11950726,441294.9725,6470713.097,440899.7613,6470622.325,77.06465347,405.5014487,59.53227003,8,1,"W-With","0-Parallel","DF-Dive-fluke-up","100","none","light","calm","good"
"22",1360,"2008-06-15-K","2008-06-15-K-076","2008-06-15-K-076","6/15/2008","N","MultiOb",3,2008,"Ryndam","Karin","Starboard","n","humpback whale",1,"n",0,58.29668331,-135.7608818,58.29668331,-135.7608818,"6/15/2008","6/15/2008",147,"6/15/2008","16:54:13","6/15/2008",20080615,"16:54:13",13503,120.8713905,455398.0625,6461993.573,16.36470831,455410.6761,6461988.363,455816.4777,6461926.554,278.660332,410.4817743,-22.21105846,6,1,"G/A-Ag/Aw","4-45-degrees","BL-Blowing","100","none","moderate","1'","excellent"
"23",279,"2008-06-15-K","2008-06-15-K-016","2008-06-15-K-016","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"n",0,58.30480319,-135.7830645,58.30480319,-135.7830645,"6/15/2008","6/15/2008",87,"6/15/2008","5:21:50","6/15/2008",20080615,"05:21:50",9238,283.2958236,454108.293,6462912.496,13.95330599,454094.6949,6462913.654,454506.4439,6462876.962,275.092369,413.3806979,171.7965454,6,1,"A-Away","9-Perpendicular","DN-Dive-no-fluke","100","light","light","calm","excellent"
"24",246,"2008-07-21-K","2008-07-21-K-012","2008-07-21-K-012","7/21/2008","N","MultiOb",2,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"n",0,58.30202485,-135.7749599,58.30202485,-135.7749599,"7/21/2008","7/21/2008",813,"7/21/2008","5:50:43","7/21/2008",20080721,"05:50:43",68339,290.5254782,454579.6894,6462597.678,11.98334741,454566.1556,6462604.88,454389.8501,6462226.699,24.99462187,417.2583162,-85.53085629,7,1,"W-With","0-Parallel","RE-Resting","100","none","none","calm","excellent"
"25",239,"2008-07-28-K","2008-07-28-K-005","2008-07-28-K-005","7/28/2008","N","MultiOb",2,2008,"Amsterdam","Karin","Starboard","n","humpback whale",1,"n",0,58.30117308,-135.7654715,58.30117308,-135.7654715,"7/28/2008","7/28/2008",885,"7/28/2008","5:52:41","7/28/2008",20080728,"05:52:41",74408,281.1078294,455134.7105,6462496.486,9.698661703,455119.4099,6462497.452,454754.5713,6462250.563,55.91350698,440.5240037,-45.19432241,7,1,"W-With","0-Parallel","BL-Blowing","100","moderate","strong","2'","excellent"
"26",115,"2008-08-17-K","2008-08-17-K-058","2008-08-17-K-058","8/17/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","n","humpback whale",1,"n",0,58.1343991,-135.2007828,58.1343991,-135.2007828,"8/17/2008","8/17/2008",1301,"8/17/2008","19:03:52","8/17/2008",20080817,"19:03:52",108277,118.3383267,488176.3996,6443690.981,19.40217462,488189.2311,6443686.333,488313.6436,6444110.879,196.3331206,442.4005194,-102.0052062,8,1,"W-With","0-Parallel","DF-Dive-fluke-up","100","moderate","light","2'","good"
"27",1337,"2008-06-15-K","2008-06-15-K-065","2008-06-15-K-065","6/15/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"y",13,58.37341092,-135.9638915,58.37341092,-135.9638915,"6/15/2008","6/15/2008",136,"6/15/2008","16:19:26","6/15/2008",20080615,"16:19:26",13086,179.9371107,443620.6678,6470688.199,13.9565179,443622.6826,6470674.701,444051.0072,6470818.946,251.3882549,451.9608123,-108.5488559,6,1,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","excellent"
"28",1118,"2008-08-06-K","2008-08-06-K-005","2008-08-06-K-005","8/6/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.30488559,-135.7732227,58.30488559,-135.7732227,"8/6/2008","8/6/2008",1068,"8/6/2008","6:01:55","8/6/2008",20080806,"06:01:55",88757,286.893897,454685.1628,6462915.005,13.97732638,454671.6642,6462917.014,454601.643,6463393.552,171.6409206,481.6545331,64.74702362,8,1,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","100","none","light","calm","excellent"
"29",275,"2008-08-11-K","2008-08-11-K-007","2008-08-11-K-007","8/11/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","y","humpback whale",1,"n",0,58.30453673,-135.7858274,58.30453673,-135.7858274,"8/11/2008","8/11/2008",1179,"8/11/2008","5:48:02","8/11/2008",20080811,"05:48:02",96960,285.0355166,453946.0297,6462884.716,10.64270592,453931.8689,6462890.591,453479.1377,6462706.428,67.86433954,488.7552498,-37.17117704,8,1,"G/T-Ag/to","4-45-degrees","DF-Dive-fluke-up","100","none","light","1'","excellent"
"30",478,"2008-06-23-K","2008-06-23-K-061","2008-06-23-K-061","6/23/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"y",13,58.38438132,-135.9878731,58.38438132,-135.9878731,"6/23/2008","6/23/2008",308,"6/23/2008","16:25:01","6/23/2008",20080623,"16:25:01",31378,206.532781,442235.9447,6471929.904,10.50060786,442227.3654,6471917.198,442013.8734,6471476.6,25.85251727,489.5972862,-0.680263722,6,1,"A-Away","9-Perpendicular","DF-Dive-fluke-up","90","none","light","1'","excellent"
"31",248,"2008-07-28-K","2008-07-28-K-007","2008-07-28-K-007","7/28/2008","Y","Single",1,2008,"Amsterdam","Karin","Starboard","y","humpback whale",1,"n",0,58.30214362,-135.7744814,58.30214362,-135.7744814,"7/28/2008","7/28/2008",887,"7/28/2008","5:54:29","7/28/2008",20080728,"05:54:29",74429,283.0198708,454607.8867,6462610.578,9.543989965,454592.6269,6462612.054,454260.0869,6462251.677,42.69942692,490.3617626,-60.32044385,7,1,"W/A-Wi/Aw","4-45-degrees","BL-Blowing","100","moderate","strong","2'","excellent"
"32",1686,"2008-08-11-K","2008-08-11-K-025","2008-08-11-K-025","8/11/2008","N","MultiOb",3,2008,"Amsterdam","Karin","Port","n","humpback whale",1,"y",13,58.45062107,-136.018326,58.45062107,-136.018326,"8/11/2008","8/11/2008",1197,"8/11/2008","7:06:57","8/11/2008",20080811,"07:06:57",97907,315.0085567,440567.0209,6479331.09,12.71081713,440557.6889,6479343.254,440132.4265,6479614.399,122.5213529,504.3487445,-12.48720379,8,1,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","excellent"
"33",1230,"2008-06-15-K","2008-06-15-K-011","2008-06-15-K-011","6/15/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"n",0,58.29977866,-135.749352,58.29977866,-135.749352,"6/15/2008","6/15/2008",82,"6/15/2008","5:17:03","6/15/2008",20080615,"05:17:03",9181,294.3468775,456077.743,6462330.613,13.92611649,456064.6191,6462334.356,456466.6986,6462644.461,232.358758,507.7722245,118.0118805,6,1,"W-With","0-Parallel","BL-Blowing","100","light","light","calm","excellent"
"34",403,"2008-07-21-K","2008-07-21-K-072","2008-07-21-K-072","7/21/2008","N","MultiOb",4,2008,"Amsterdam","Karin","Port","n","humpback whale",2,"n",0,58.36745842,-136.0061294,58.36745842,-136.0061294,"7/21/2008","7/21/2008",873,"7/21/2008","16:37:29","7/21/2008",20080721,"16:37:29",72732,206.8337536,441140.3167,6470061.663,10.67279175,441131.6707,6470049.003,440633.4086,6469907.653,74.16210232,517.9236724,47.32834875,7,1,"T-Toward","9-Perpendicular","BL-Blowing","90","none","moderate","2'","excellent"
