"","X","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"1",1,"Volendam",1,18.0069088,2498.460364,"BL-Blowing","excellent","calm",2013,0.987756207784578
"2",2,"Volendam",1,18.3843706,4001.47522,"BL-Blowing","excellent","calm",2013,1.09835037885843
"3",3,"Volendam",3,19.32630566,3993.022487,"BL-Blowing","excellent","calm",2013,1.3743320203546
"4",4,"Volendam",1,11.33139606,3991.33881,"BL-Blowing","excellent","2'",2014,-0.968131243536942
"5",6,"Norwegian Pearl",1,18.12490146,354.5248521,"DF-Dive-fluke-up","excellent","1'",2008,1.02232738935977
"6",7,"Veendam",1,16.60784944,449.8510227,"DF-Dive-fluke-up","excellent","1'",2008,0.577839733581591
"7",8,"Ryndam",1,15.1575027,84.86194866,"BL-Blowing","excellent","1'",2008,0.152896347310551
"8",9,"Ryndam",1,16.83331037,2274.007719,"SA-Surface-active","excellent","1'",2008,0.643898510027021
"9",10,"Sapphire Princess",1,18.97596474,212.2243234,"DF-Dive-fluke-up","excellent","1'",2008,1.2716841136243
"10",11,"Sapphire Princess",1,14.61334426,2711.333987,"SA-Surface-active","excellent","1'",2008,-0.00653899582785435
"11",12,"Statendam",1,2.8168267,3658.061081,"DF-Dive-fluke-up","excellent","1'",2008,-3.46285187598243
"12",13,"Statendam",1,17.33185251,1632.742393,"BL-Blowing","excellent","1'",2008,0.789968535440676
"13",14,"Coral Princess",1,19.03848506,4557.558975,"DF-Dive-fluke-up","excellent","1'",2008,1.29000221353712
"14",15,"Statendam",1,16.4102184,278.3837715,"BL-Blowing","good","1'",2008,0.519934957396921
"15",16,"Statendam",1,15.08801895,626.3897209,"BL-Blowing","good","1'",2008,0.132538001818761
"16",17,"Statendam",1,14.77514115,908.0480913,"DF-Dive-fluke-up","good","1'",2008,0.0408665772178871
"17",18,"Volendam",1,19.08287313,2279.845001,"BL-Blowing","excellent","1'",2008,1.3030076668233
"18",19,"Volendam",1,19.23894394,772.4371096,"SA-Surface-active","excellent","1'",2008,1.34873553083702
"19",20,"Island Princess",1,18.74616011,4557.488382,"BL-Blowing","excellent","1'",2008,1.20435265766297
"20",21,"Island Princess",1,10.72075311,4557.893408,"DF-Dive-fluke-up","excellent","1'",2008,-1.14704617182198
"21",22,"Island Princess",1,9.380479596,719.7191268,"DF-Dive-fluke-up","excellent","1'",2008,-1.53973872585809
"22",23,"Sapphire Princess",1,11.15226773,1352.880221,"BL-Blowing","good","1'",2008,-1.02061483041167
"23",24,"Sapphire Princess",1,12.14829165,2712.147653,"DF-Dive-fluke-up","good","1'",2008,-0.72878545906303
"24",25,"Statendam",1,11.18956121,1488.605436,"BL-Blowing","excellent","1'",2008,-1.00968805184214
"25",26,"Statendam",1,11.18329477,786.3331009,"BL-Blowing","excellent","1'",2008,-1.01152408329587
"26",27,"Statendam",1,10.97758343,613.1909567,"BL-Blowing","excellent","1'",2008,-1.07179634164835
"27",28,"Statendam",1,19.23952368,991.102364,"BL-Blowing","excellent","1'",2008,1.34890539137586
"28",29,"Statendam",1,19.73070936,670.4397953,"DF-Dive-fluke-up","excellent","1'",2008,1.49282001564498
"29",30,"Statendam",1,19.81635979,1999.269849,"BL-Blowing","excellent","1'",2008,1.51791510687797
"30",31,"Ryndam",1,13.86624033,151.563979,"BL-Blowing","excellent","1'",2008,-0.225436218922659
"31",32,"Ryndam",1,13.08209134,1012.232075,"BL-Blowing","excellent","1'",2008,-0.455187434932988
"32",33,"Ryndam",1,13.01703785,748.4608728,"DF-Dive-fluke-up","excellent","1'",2008,-0.474247739318786
"33",34,"Ryndam",1,13.4052839,1987.781769,"BL-Blowing","excellent","1'",2008,-0.360493844030714
"34",35,"Ryndam",1,13.51014479,605.1849739,"BL-Blowing","excellent","1'",2008,-0.329770196743449
"35",36,"Ryndam",1,13.9565179,451.9608123,"BL-Blowing","excellent","1'",2008,-0.198985401857961
"36",37,"Ryndam",1,15.13868499,786.494808,"DF-Dive-fluke-up","excellent","1'",2008,0.147382864783423
"37",38,"Ryndam",1,16.42336315,3487.258827,"BL-Blowing","excellent","1'",2008,0.523786294751384
"38",39,"Ryndam",1,16.35679592,992.511101,"BL-Blowing","excellent","1'",2008,0.504282473112923
"39",40,"Ryndam",1,16.35628232,792.6897616,"BL-Blowing","excellent","1'",2008,0.504131991219752
"40",41,"Ryndam",1,16.36470831,410.4817743,"BL-Blowing","excellent","1'",2008,0.506600758601052
"41",42,"Ryndam",1,17.38918508,2004.331724,"DF-Dive-fluke-up","excellent","1'",2008,0.806766653964679
"42",43,"Diamond Princess",1,17.61221798,1069.32255,"BL-Blowing","excellent","1'",2008,0.872114031362067
"43",44,"Statendam",1,13.13957749,2188.759701,"BL-Blowing","excellent","1'",2008,-0.438344318338204
"44",45,"Statendam",1,13.38752016,1591.35248,"DF-Dive-fluke-up","excellent","1'",2008,-0.365698519313012
"45",46,"Statendam",1,13.37497421,886.2581699,"BL-Blowing","excellent","1'",2008,-0.369374411656512
"46",47,"Statendam",1,13.19542974,991.5643763,"RE-Resting","excellent","1'",2008,-0.421979925196012
"47",48,"Statendam",1,13.40658848,241.5879067,"BL-Blowing","excellent","1'",2008,-0.360111609474265
"48",49,"Statendam",1,10.68955878,533.2293054,"RE-Resting","excellent","1'",2008,-1.15618593396097
"49",50,"Statendam",1,13.45991654,1388.439645,"BL-Blowing","excellent","1'",2008,-0.344486789715877
"50",51,"Statendam",1,17.38695557,1992.026768,"DF-Dive-fluke-up","excellent","1'",2008,0.80611342015307
"51",52,"Statendam",1,17.42236978,2490.205175,"SA-Surface-active","excellent","1'",2008,0.81648958324874
"52",53,"Statendam",1,17.77908763,388.9797015,"DF-Dive-fluke-up","excellent","1'",2008,0.921005894377433
"53",54,"Coral Princess",1,16.05703556,1081.921429,"BL-Blowing","excellent","1'",2008,0.416454384191079
"54",55,"Ryndam",1,14.03499267,1099.709736,"BL-Blowing","excellent","1'",2008,-0.175992738392781
"55",56,"Amsterdam",1,10.53824703,897.9852921,"DF-Dive-fluke-up","excellent","1'",2008,-1.20051942032961
"56",57,"Amsterdam",1,10.42817274,898.3012207,"DF-Dive-fluke-up","excellent","1'",2008,-1.23277056431052
"57",58,"Amsterdam",1,10.54342265,903.841137,"BL-Blowing","excellent","1'",2008,-1.19900299296214
"58",59,"Amsterdam",1,7.178691472,1189.761995,"BL-Blowing","excellent","1'",2008,-2.18485018469718
"59",60,"Amsterdam",1,10.50060786,489.5972862,"DF-Dive-fluke-up","excellent","1'",2008,-1.21154748411264
"60",61,"Amsterdam",1,10.43925006,1785.881123,"DF-Dive-fluke-up","excellent","1'",2008,-1.22952497224499
"61",62,"Amsterdam",1,11.66706017,985.4170115,"BL-Blowing","excellent","1'",2008,-0.869783559070084
"62",63,"Sapphire Princess",1,18.39301965,3625.434928,"BL-Blowing","excellent","1'",2008,1.10088450155727
"63",64,"Sapphire Princess",1,17.11776025,1806.143335,"BL-Blowing","excellent","1'",2008,0.727240714961816
"64",65,"Sapphire Princess",1,13.33685802,981.1674733,"BL-Blowing","excellent","1'",2008,-0.380542239599746
"65",66,"Statendam",1,15.98427408,463.2876189,"BL-Blowing","excellent","1'",2008,0.395135682360307
"66",67,"Coral Princess",1,17.69490517,125.8879179,"BL-Blowing","excellent","1'",2008,0.89634091004615
"67",68,"Coral Princess",1,18.61592867,2727.853577,"BL-Blowing","excellent","1'",2008,1.16619558281578
"68",69,"Statendam",1,17.42301124,912.3217371,"BL-Blowing","excellent","1'",2008,0.81667752739826
"69",70,"Statendam",1,19.80493797,1189.257257,"DF-Dive-fluke-up","excellent","1'",2008,1.51456857826221
"70",71,"Statendam",1,20.54229711,2989.920998,"BL-Blowing","excellent","1'",2008,1.73061063303975
"71",73,"Statendam",1,18.63867958,2491.488726,"DF-Dive-fluke-up","good","1'",2008,1.17286147068212
"72",74,"Coral Princess",1,18.19457017,1813.630543,"BL-Blowing","excellent","1'",2008,1.04273992708474
"73",75,"Coral Princess",1,13.24710185,1590.536976,"SA-Surface-active","excellent","1'",2008,-0.406840289415419
"74",76,"Amsterdam",1,18.78134538,1793.043126,"BL-Blowing","excellent","1'",2008,1.21466174263438
"75",77,"Amsterdam",1,19.1249941,885.925689,"BL-Blowing","excellent","1'",2008,1.31534887264062
"76",79,"Sapphire Princess",1,12.21455318,2718.648925,"BL-Blowing","excellent","1'",2008,-0.709371205794395
"77",80,"Sapphire Princess",1,13.1733775,1800.675731,"DF-Dive-fluke-up","poor","1'",2008,-0.428441106706622
"78",81,"Sapphire Princess",1,9.274115698,629.4189294,"DF-Dive-fluke-up","poor","1'",2008,-1.57090274598276
"79",82,"Coral Princess",1,14.60652895,624.7392283,"BL-Blowing","good","1'",2008,-0.00853584308514335
"80",83,"Ryndam",1,19.337174,1986.436675,"DF-Dive-fluke-up","excellent","1'",2008,1.37751638246289
"81",84,"Volendam",1,14.06563986,726.4346171,"DF-Dive-fluke-up","poor","1'",2008,-0.167013285177137
"82",85,"Volendam",1,14.55441556,1828.159722,"BL-Blowing","poor","1'",2008,-0.0238047714082165
"83",86,"Island Princess",1,7.412530985,645.7356047,"BL-Blowing","good","1'",2008,-2.11633653085314
"84",87,"Island Princess",1,13.10434462,3637.621161,"BL-Blowing","excellent","1'",2008,-0.448667349840207
"85",88,"Island Princess",1,13.39710469,718.9689958,"BL-Blowing","excellent","1'",2008,-0.362890306268718
"86",89,"Island Princess",1,13.24872837,718.8910204,"BL-Blowing","excellent","1'",2008,-0.406363728261058
"87",90,"Ryndam",1,12.89749028,2274.188264,"DF-Dive-fluke-up","excellent","1'",2008,-0.50927450072363
"88",91,"Sapphire Princess",1,18.92326102,4537.900667,"BL-Blowing","good","1'",2008,1.25624222195233
"89",92,"Sapphire Princess",1,13.88983191,2251.818459,"BL-Blowing","good","1'",2008,-0.218524019504274
"90",93,"Island Princess",1,16.44468103,3643.93476,"BL-Blowing","good","1'",2008,0.530032312938262
"91",94,"Island Princess",1,16.95607266,1819.440908,"BL-Blowing","good","1'",2008,0.679867166197468
"92",95,"Island Princess",1,19.64477822,3645.404611,"SA-Surface-active","good","1'",2008,1.46764267797072
"93",96,"Zaandam",1,11.71787679,169.5502311,"BL-Blowing","poor","1'",2008,-0.854894577017662
"94",97,"Amsterdam",1,13.16031591,791.9778381,"BL-Blowing","excellent","1'",2008,-0.432268078651747
"95",98,"Amsterdam",1,12.52907078,2984.640577,"BL-Blowing","excellent","1'",2008,-0.617219329074321
"96",99,"Amsterdam",1,10.94645697,3984.641938,"BL-Blowing","excellent","1'",2008,-1.08091621826146
"97",100,"Ryndam",1,9.416134095,1494.116936,"BL-Blowing","good","1'",2008,-1.52929215944539
"98",101,"Ryndam",1,17.33942915,2486.50436,"BL-Blowing","excellent","1'",2008,0.792188448079054
"99",102,"Ryndam",1,10.22780721,1487.134421,"BL-Blowing","excellent","1'",2008,-1.29147653058876
"100",103,"Ryndam",1,6.048904659,1491.944311,"BL-Blowing","excellent","1'",2008,-2.515871326635
"101",104,"Ryndam",1,18.14342903,1127.171842,"BL-Blowing","excellent","1'",2008,1.02775586250901
"102",105,"Ryndam",1,20.00890564,3986.419408,"DF-Dive-fluke-up","good","1'",2008,1.57432995117336
"103",107,"Amsterdam",1,10.65604981,351.3142253,"RE-Resting","excellent","1'",2008,-1.16600387251975
"104",108,"Amsterdam",1,10.64270592,488.7552498,"DF-Dive-fluke-up","excellent","1'",2008,-1.16991355676714
"105",109,"Amsterdam",1,10.77522111,961.6851502,"SA-Surface-active","excellent","1'",2008,-1.13108735609533
"106",110,"Amsterdam",1,10.77455706,786.9730576,"BL-Blowing","excellent","1'",2008,-1.13128191898699
"107",111,"Amsterdam",1,9.796874316,291.5303829,"BL-Blowing","excellent","1'",2008,-1.41773742957346
"108",112,"Amsterdam",1,12.71081713,504.3487445,"BL-Blowing","excellent","1'",2008,-0.563968677156834
"109",113,"Amsterdam",1,12.65084715,1007.193123,"BL-Blowing","excellent","1'",2008,-0.581539541883848
"110",114,"Statendam",1,17.47141506,1506.996062,"BL-Blowing","excellent","1'",2008,0.830859572706442
"111",115,"Statendam",1,18.43661569,1991.552611,"BL-Blowing","excellent","1'",2008,1.11365789453612
"112",116,"Statendam",1,18.0420346,1501.960513,"BL-Blowing","excellent","1'",2008,0.998047868382566
"113",117,"Zaandam",1,16.64229137,1359.025064,"DF-Dive-fluke-up","poor","1'",2008,0.587931024140089
"114",118,"Tahitian Princess",1,14.85654143,4561.509026,"DF-Dive-fluke-up","good","1'",2008,0.064716398555515
"115",119,"Amsterdam",1,12.03794461,985.8319225,"BL-Blowing","excellent","1'",2008,-0.761116517250251
"116",120,"Amsterdam",1,11.85384196,884.6143923,"DF-Dive-fluke-up","excellent","1'",2008,-0.815057551731752
"117",121,"Amsterdam",1,12.42720249,1490.029767,"BL-Blowing","excellent","1'",2008,-0.647066161498849
